phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
купить диван;Диваны;коммерческий;;894761;31513;;28697;30;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
спальня;Спальни;общий;;1003690;7542;;7567;24;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
мебель белорусская мебель;Белорусская мебель;общий;;33765;6797;;6410;23;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
белорусская мебель;Белорусская мебель;общий;;34936;4864;31741;4417;10;/;arsenkin_sem+expand+keysso
кресло кровать раскладное;Кресла-кровати;общий;;11531;2702;;2548;35;/catalog/myagkaya-mebel/kresla/f/type--kreslo-krovat;arsenkin_sem+keysso
мебельная фабрика;Фабрика/производитель;общий;;303019;2420;289085;2362;38;/;arsenkin_sem+expand+keysso
кожаный диван;Диваны кожаные;общий;;39353;2099;37931;2115;11;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+expand+keysso
диван тахта;Тахты и кушетки;общий;;13298;2009;12306;1973;18;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+expand+keysso
кресло мягкое;Кресла;общий;;51122;1333;;1253;24;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
кожаный диван купить;Диваны кожаные;коммерческий;;9113;1297;;1103;12;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+keysso
кровать с мягким изголовьем;Кровати;общий;;22410;1252;;1124;15;/catalog/korpusnaya-mebel/krovati/f/izgolove--smyagkoyobivkoy;arsenkin_sem+keysso
мебель из дерева;Мебель из массива;общий;;31416;1008;;960;23;/catalog;arsenkin_sem+keysso
диван модульный угловой;Диваны угловые;общий;;5571;989;;1007;15;/catalog/myagkaya-mebel/divanyi-uglovyie/f/sistema_komplektatsii--modulnaya;arsenkin_sem+keysso
кресло реклайнер купить;Кресла реклайнеры;коммерческий;;5037;924;4540;767;28;/catalog/myagkaya-mebel/kresla/f/type--kreslo-reklayner;arsenkin_sem+expand+keysso
divan;Диваны;общий;;36594;893;;923;27;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
диван большой;Диваны;общий;;49469;872;;947;22;/catalog/myagkaya-mebel/divanyi/f/po_gabaritam--bolshie;arsenkin_sem+keysso
кожаное кресло;Диваны кожаные;общий;;17977;827;;849;25;/catalog/myagkaya-mebel/kresla/f/obivka--naturalnaya_koja;arsenkin_sem+keysso
кресло в гостиную;Кресла;общий;;12558;719;;708;30;/catalog/myagkaya-mebel/kresla/f/naznachenie--v_gostinuyu;arsenkin_sem+keysso
кресло мягкое для дома;Кресла;общий;;4008;677;;642;24;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
независимый пружинный блок;Матрасы;общий;;17532;648;;610;44;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
тумба для обуви;Комоды и тумбы;общий;;9816;637;;647;34;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-dlya-obuvi;arsenkin_sem+keysso
кровать 1.5 спальная;Кровати;общий;;6336;635;;550;39;/catalog/korpusnaya-mebel/krovati/f/kolichestvo_spalnyih_mest--1_5_spalnoe;arsenkin_sem+keysso
тумба в прихожую;Прихожие;общий;;11057;624;;738;30;/catalog/korpusnaya-mebel/tumbyi/f/naznachenie--v_prihojuyu;arsenkin_sem+keysso
кресло мягкое купить;Кресла;коммерческий;;10706;612;;561;32;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
механизмы раскладывания диванов;Диваны;общий;;5300;603;;559;27;/mehanizmyi-transformatsii;arsenkin_sem+keysso
диван тик так;Диваны;общий;;8942;597;;646;13;/catalog/myagkaya-mebel/divanyi/f/transformation--tik_tak;arsenkin_sem+keysso
мебель из белоруссии;Белорусская мебель;общий;;4631;596;4341;563;8;/;arsenkin_sem+expand+keysso
кровать 1 5 спальная;Кровати;общий;;5958;596;;549;35;/catalog/korpusnaya-mebel/krovati/f/kolichestvo_spalnyih_mest--1_5_spalnoe;arsenkin_sem+keysso
комод под телевизор в гостиную;Гостиные и стенки;общий;;1472;595;;548;36;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-pod-televizor;arsenkin_sem+keysso
диван французская раскладушка;Диваны;общий;;4506;582;;534;25;/catalog/myagkaya-mebel/divanyi/f/transformation--francuzskaja_raskladushka;arsenkin_sem+keysso
белорусские диваны;Диваны;общий;;6189;579;5793;601;4;/catalog/myagkaya-mebel;arsenkin_sem+expand+keysso
кухн;Кухни;общий;;2560;527;;458;33;/catalog/kuhni;arsenkin_sem+keysso
раскладное кресло кровать купить;Кресла-кровати;коммерческий;;2187;508;;578;39;/catalog/myagkaya-mebel/kresla/f/type--kreslo-krovat;arsenkin_sem+keysso
деревянная мебель;Мебель из массива;общий;;34360;503;;529;20;/catalog;arsenkin_sem+keysso
диван выкатной вперед;Диваны;общий;;2679;502;;473;39;/catalog/myagkaya-mebel/divanyi-uglovyie/f/transformation--vperjodvykatnoj;arsenkin_sem+keysso
пружинный блок боннель;Матрасы;общий;;2222;491;;654;39;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
кушетка диван купить;Тахты и кушетки;коммерческий;;5021;490;;454;32;/catalog/myagkaya-mebel/kushetki-mini-divanyi;arsenkin_sem+keysso
диван кожаный угловой;Диваны угловые;общий;;3540;479;;474;7;/catalog/myagkaya-mebel/divanyi-uglovyie/f/obivka--naturalnaya_koja;arsenkin_sem+keysso
механизм тик так для дивана;Диваны;общий;;1250;479;;453;35;/mehanizmyi-transformatsii;arsenkin_sem+keysso
кровать 1 5;Кровати;общий;;14852;472;;499;39;/catalog/korpusnaya-mebel/krovati/f/kolichestvo_spalnyih_mest--1_5_spalnoe;arsenkin_sem+keysso
кресло для дома;Кресла;общий;;38120;466;;502;42;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
мебель тиффани;Мебель общ.;общий;;4028;457;;441;25;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy/gostinaya-tiffani;arsenkin_sem+keysso
кресло кровать аккордеон;Кресла-кровати;общий;;2456;454;2330;471;43;/catalog/myagkaya-mebel/kresla/f/transformation--akkordeon;arsenkin_sem+expand+keysso
тахта кровать односпальная;Тахты и кушетки;общий;;2480;453;;347;39;/catalog/myagkaya-mebel/tahtyi/f/kolichestvo_spalnyih_mest--1_spalnoe;arsenkin_sem+keysso
